"","GND","Low","Med","Hi","real_mean","real_count"
"1",0.05,0.999999999898545,0.999999999998821,1,0.953042435498379,32
"2",0.15,0.99999999976884,0.999999999997248,0.999999999999954,0.943678948827508,11
"3",0.25,0.999999809385529,0.999999993695152,0.999999999628197,0.939846761993056,9
"4",0.35,0.999990026172433,0.99999931997225,0.999999932324045,0.944622824206439,7
"5",0.45,0.999878748901346,0.999985821034414,0.999997867126549,0.924768207450544,1
"6",0.55,0.999325528473417,0.999880758654878,0.999975020273597,0.894353161337668,5
"7",0.65,0.997654533823165,0.999427074183411,0.999842962789173,0.851882321329969,2
"8",0.75,0.993985245477834,0.998100041638502,0.999350834951772,0.844178219678234,2
"9",0.95,0.977541720294369,0.98966653419956,0.995070393543544,0.835661012417379,1
"10",1.05,0.963903994585954,0.980916587442982,0.989664528244965,0.832361311388548,6
"11",1.15,0.946610556348546,0.968329622012369,0.980916251853914,0.827737734017575,5
"12",1.25,0.925948560884156,0.95164516760713,0.968117220592644,0.819299611596993,4
"13",1.35,0.902363161916179,0.930896788877757,0.950828248052971,0.762582363043126,9
"14",1.45,0.876380297858549,0.906365275240378,0.92892187523368,0.730685543174397,11
"15",1.55,0.848546727307837,0.878510312542549,0.902568366660365,0.721207984307945,8
"16",1.65,0.819388676193645,0.847899660689547,0.872183497397627,0.697017018523401,6
"17",1.75,0.789386551332845,0.815147136433191,0.838358093793415,0.698022426587302,9
"18",1.85,0.758961933920448,0.780864305287241,0.801785362524657,0.667741358538244,14
"19",1.95,0.728473171302846,0.745626558450335,0.763196353915329,0.647445493617063,24
"20",2.05,0.69821653151514,0.709951953042723,0.723308688213809,0.627802062469239,17
"21",2.15,0.668430640800436,0.674290257876207,0.682789831902137,0.607477521698311,15
"22",2.25,0.639302603388081,0.639019529883138,0.642233837687505,0.593961202815198,20
"23",2.35,0.610974742094393,0.604447843554571,0.602149279294919,0.567784155943802,29
"24",2.45,0.583551297246638,0.570818253270802,0.562955749139922,0.547338313992092,25
"25",2.55,0.557104700875489,0.538315539970881,0.524986412066898,0.547495765960478,31
"26",2.65,0.531681230748061,0.507073711102419,0.488494475507038,0.543351703316213,28
"27",2.75,0.507305969372744,0.477183560917544,0.453661884855631,0.515734200419714,23
"28",2.85,0.483987066813102,0.448699855959275,0.420608989616562,0.498058291461035,28
"29",2.95,0.461719348302342,0.421647897831442,0.389404305152466,0.491036593633319,41
"30",3.05,0.440487328395466,0.396029345517796,0.360073800612596,0.469546972900753,29
"31",3.15,0.420267703641845,0.371827265960993,0.332609376423659,0.443047547352087,49
"32",3.25,0.401031393045277,0.349010435933471,0.306976363428347,0.430224194504823,57
"33",3.35,0.382745194771826,0.327536949791092,0.28311999210976,0.410998920901568,55
"34",3.45,0.36537311941302,0.307357203681032,0.260970856171648,0.399289696339108,63
"35",3.55,0.348877453618131,0.288416332489286,0.240449440549926,0.386433404662337,70
"36",3.65,0.333219600621848,0.270656175069865,0.221469808354185,0.367226298397959,77
"37",3.75,0.318360737391295,0.2540168387365,0.203942551044471,0.366145649537234,82
"38",3.85,0.304262321940863,0.238437927471141,0.187777106423845,0.339841675188093,61
"39",3.95,0.290886478906143,0.22385949086359,0.172883543469277,0.327874654324137,56
"40",4.05,0.278196286736701,0.210222743373885,0.159173904223127,0.308040444089448,64
"41",4.15,0.26615598579926,0.197470596320093,0.146563182695532,0.293128312125629,59
"42",4.25,0.254731123445026,0.185548038810316,0.134970010129725,0.28642263861478,62
"43",4.35,0.243888648578792,0.174402396876227,0.124317105770798,0.263727460216406,97
