"variable","GND","type","data","alpha","model"
"X98",12.75,"real",0.00876390964380636,"Hi",0.000204508065756441
"X98",12.75,"simulated",0.00127069787180574,"Hi",0.00081235800766211
"X98",12.85,"real",0.00976384062349563,"Hi",0.000194685033691981
"X98",12.85,"simulated",0.00119422281490099,"Hi",0.000780856384439078
"X98",12.95,"real",0.00960206003352997,"Hi",0.000185389482146741
"X98",12.95,"simulated",0.00125902092798134,"Hi",0.000750761626918569
"X98",13.05,"real",0.0107024372746618,"Hi",0.000176590161865677
"X98",13.05,"simulated",0.00128788728199391,"Hi",0.000722002810921249
"X98",13.15,"real",0.00963100718310877,"Hi",0.000168257844234112
"X98",13.15,"simulated",0.00119294009904326,"Hi",0.000694512986350796
"X98",13.25,"real",0.0106588719848425,"Hi",0.000160365179927448
"X98",13.25,"simulated",0.00111386899868152,"Hi",0.000668228932727449
"X98",13.35,"real",0.00897120473634269,"Hi",0.000152886568178157
"X98",13.35,"simulated",0.00114115916526571,"Hi",0.000643090931065068
"X98",13.45,"real",0.0089989336705817,"Hi",0.000145798035808309
"X98",13.45,"simulated",0.00117321531902544,"Hi",0.000619042550914269
"X98",13.55,"real",0.00912394357306934,"Hi",0.000139077125250632
"X98",13.55,"simulated",0.00109530932890354,"Hi",0.000596030451485023
"X98",13.65,"real",0.0083066916307001,"Hi",0.000132702790844422
"X98",13.65,"simulated",0.0010729180528639,"Hi",0.000574004195845341
"X98",13.75,"real",0.00777298422569739,"Hi",0.000126655302754106
"X98",13.75,"simulated",0.000936014981779778,"Hi",0.000552916077269206
"X98",13.85,"real",0.00725154453842739,"Hi",0.000120916157912368
"X98",13.85,"simulated",0.00103699021026996,"Hi",0.000532720957315837
"X98",13.95,"real",0.00698735625648777,"Hi",0.000115467997439607
"X98",13.95,"simulated",0.000985367547173141,"Hi",0.000513376111778229
"X98",14.05,"real",0.00718839597098653,"Hi",0.000110294530036926
"X98",14.05,"simulated",0.00170835236441892,"Hi",0.00049484109297892
"X98",14.15,"real",0.00621264376285938,"Hi",0.000105380460891293
"X98",14.15,"simulated",0.000845488232164219,"Hi",0.000477077592384641
"X98",14.25,"real",0.00573343085701426,"Hi",0.000100711425669335
"X98",14.35,"real",0.00491147362397861,"Hi",9.62739292107984e-05
"X98",14.45,"real",0.00454517878611968,"Hi",9.20552885642891e-05
"X98",14.55,"real",0.00334980795754768,"Hi",8.80435800367361e-05
"X98",14.65,"real",0.00326767344261161,"Hi",8.42275899545139e-05
"X98",14.75,"real",0.00275983512897765,"Hi",8.05967688581747e-05
"X98",14.85,"real",0.00235728643268663,"Hi",7.71411888750297e-05
"X98",14.95,"real",0.00214250072600593,"Hi",7.38515040339365e-05
"X98",15.05,"real",0.00183190746097172,"Hi",7.07189133052865e-05
"X98",15.15,"real",0.0017546023354106,"Hi",6.77351261661737e-05
"X98",15.25,"real",0.00154355941569728,"Hi",6.48923305063356e-05
"X98",15.35,"real",0.00140119038462721,"Hi",6.21831627047734e-05
"X98",15.45,"real",0.00126279642828017,"Hi",5.96006797200959e-05
"X98",15.55,"real",0.00107454705226313,"Hi",5.71383330497033e-05
"X98",15.65,"real",0.00112879069193036,"Hi",5.47899444240034e-05
"X98",15.75,"real",0.000961691865625365,"Hi",5.25496831120487e-05
"X98",15.85,"real",0.000771493991596352,"Hi",5.04120447243433e-05
"X98",15.95,"real",0.000628182558258431,"Hi",4.83718314071924e-05
"X98",16.05,"real",0.000638531705178539,"Hi",4.64241333308716e-05
"X98",16.15,"real",0.000617913310602079,"Hi",4.45643113812292e-05
"X98",16.25,"real",0.000634387857273069,"Hi",4.27879809710201e-05
"X98",16.35,"real",0.000574812387482565,"Hi",4.10909968934787e-05
"X98",16.45,"real",0.000548399183025959,"Hi",3.94694391463457e-05
"X98",16.55,"real",0.000513857299938075,"Hi",3.79195996598121e-05
"X98",16.65,"real",0.000486208589352372,"Hi",3.64379698667183e-05
"X98",16.75,"real",0.000432886976687337,"Hi",3.50212290578037e-05
"X98",16.85,"real",0.000367233216771584,"Hi",3.36662334689482e-05
"X98",16.95,"real",0.000312927868894284,"Hi",3.23700060511604e-05
"X98",17.05,"real",0.000274572861928368,"Hi",3.11297268775944e-05
"X98",17.15,"real",0.000233297086080618,"Hi",2.99427241484875e-05
"X98",17.25,"real",0.000190244945840235,"Hi",2.88064657344726e-05
"X98",17.35,"real",0.00016346722500694,"Hi",2.77185512717671e-05
"X98",17.45,"real",0.000137789885237788,"Hi",2.66767047084969e-05
"X98",17.55,"real",0.000113180446297176,"Hi",2.56787673201883e-05
