"","GND","Low","Med","Hi","real_mean","real_count"
"1",0.05,0.999999948427557,0.999999990635441,0.999999997143926,0.951345529192975,32
"2",0.15,0.999772953341126,0.999926906321903,0.999968421049908,0.93506384774967,11
"3",0.25,0.995506899904425,0.997908077459792,0.998842755917607,0.922314986929674,9
"4",0.35,0.978399826129522,0.987102717802615,0.991470139075199,0.920561434127577,7
"5",0.45,0.943543138641251,0.959937607304131,0.969811071172462,0.880047119698186,1
"6",0.55,0.89290519731322,0.914125355022884,0.928773416072896,0.849245344106819,5
"7",0.65,0.831836966262763,0.852802585191165,0.868965559971604,0.786026667044583,2
"8",0.75,0.765852417282009,0.781631498798646,0.795226539271829,0.820759133008354,2
"9",0.95,0.634901331841056,0.631391016255007,0.63087124530972,0.751815425887207,1
"10",1.05,0.574487201098342,0.559950078404999,0.550564697787381,0.663894961736663,6
"11",1.15,0.518839672342979,0.493815613369627,0.475876147944957,0.646156573819496,5
"12",1.25,0.46823071677302,0.433855473803349,0.408361455679325,0.610824004855217,4
"13",1.35,0.422589685724484,0.380287798551886,0.348592087997406,0.567036843667239,9
"14",1.45,0.381651769164351,0.332924957432668,0.296485372592638,0.543800116484835,11
"15",1.55,0.345054457153899,0.29134955455278,0.251567562165146,0.448307251405486,8
"16",1.65,0.312397615843394,0.255033018213486,0.213162776248538,0.477675431773448,6
"17",1.75,0.283279297067172,0.223411099361615,0.18051864650273,0.430497424793106,9
"18",1.85,0.257315884816309,0.195929179068549,0.152884082416258,0.437032482312479,14
"19",1.95,0.234152399106354,0.172067413416076,0.129553462129908,0.397893963234111,24
"20",2.05,0.213466780005191,0.151352936921704,0.109888592239725,0.378608020244681,17
"21",2.15,0.194970609840914,0.133364081552593,0.0933266974377426,0.370012668354141,15
"22",2.25,0.178407828949533,0.117729898981242,0.0793801256919641,0.335041586228188,20
"23",2.35,0.163552408463497,0.104127104971422,0.0676315149861846,0.31342847343133,29
"24",2.45,0.150205568866464,0.0922757739004707,0.0577267940020593,0.286370431020083,25
"25",2.55,0.138192891199428,0.0819345895687651,0.0493674570827568,0.281783465662727,31
"26",2.65,0.127361517839675,0.0728961213078743,0.0423029424535041,0.275571744692161,28
"27",2.75,0.117577546408981,0.0649823809683873,0.0363235537689657,0.248227465391066,23
"28",2.85,0.108723663605315,0.0580407842917728,0.0312541254320889,0.231604513215517,28
"29",2.95,0.100697032081646,0.0519405606960979,0.0269484901493647,0.233555004979163,41
"30",3.05,0.0934074243025556,0.0465696095957368,0.0232847273657325,0.213705444189878,29
"31",3.15,0.0867755870893182,0.0418317764891076,0.0201611302312382,0.198313896498624,49
"32",3.25,0.0807318158178121,0.0376445100907038,0.0174928111066326,0.180157589652694,57
"33",3.35,0.0752147157473686,0.0339368575593441,0.0152088616127025,0.171325574717139,55
"34",3.45,0.0701701283426558,0.030647755097861,0.0132499866640098,0.162233694962945,63
"35",3.55,0.0655502018486119,0.0277245738209404,0.0115665391852134,0.152606438323191,70
"36",3.65,0.0613125871963718,0.0251218845532145,0.0101168906816651,0.138826021720191,77
